Title,Author,Publication Year,Pages,Genre
Robinson Crusoe,Daniel Defoe,1719,320,fiction
Pride and Prejudice,Jane Austen,1813,0,fiction
Oliver Twist,Charles Dickens,1838,608,fiction
Jane Eyre,Charlotte Brontë,1847,0,fiction
Wuthering Heights,Emily Brontë,1847,0,fiction
The Scarlet Letter,Nathaniel Hawthorne,1850,279,fiction
Moby-Dick,Herman Melville,1851,0,fiction
Uncle Tom's Cabin,Harriet Beecher Stowe,1852,438,fiction
Crime and Punishment,Fyodor Dostoevsky,1866,0,fiction
Alice's Adventures in Wonderland,Lewis Carroll,1871,239,fiction
Around the World in Eighty Days,Jules Verne,1872,252,fiction
Anna Karenina,Leo Tolstoy,1878,964,fiction
The Adventures of Huckleberry Finn,Mark Twain,1884,0,fiction
The Turn of the Screw,Henry James,1898,0,fiction
The Awakening,Kate Chopin,1899,0,fiction
The Call of the Wild,Jack London,1903,0,fiction
The Jungle,Upton Sinclair,1906,335,fiction
The Metamorphosis,Franz Kafka,1915,0,fiction
Siddhartha,Hermann Hesse,1922,0,fiction
The Great Gatsby,F. Scott Fitzgerald,1925,0,fiction
The Sun Also Rises,Ernest Hemingway,1926,0,fiction
All Quiet on the Western Front,Erich Maria Remarque,1928,296,fiction
Gone with the Wind,Margaret Mitchell,1936,1037,fiction
Of Mice and Men,John Steinbeck,1937,0,fiction
Their Eyes Were Watching God,Zora Neale Hurston,1937,0,fiction
The Hobbit,J.R.R. Tolkien,1937,0,fiction
Rebecca,Daphne du Maurier,1938,0,fiction
The Grapes of Wrath,John Steinbeck,1939,0,fiction
Animal Farm,George Orwell,1945,0,fiction
Man's Search for Meaning,Viktor E. Frankl,1946,0,nonfiction
The Catcher in the Rye,J.D. Salinger,1951,0,fiction
East of Eden,John Steinbeck,1952,0,fiction
Go Tell It on the Mountain,James Baldwin,1953,0,fiction
The Crucible,Arthur Miller,1953,0,fiction
Lord of the Flies,William Golding,1954,0,fiction
The Fellowship of the Ring,J.R.R. Tolkien,1954,0,fiction
The Talented Mr. Ripley,Patricia Highsmith,1955,0,fiction
Atlas Shrugged,Ayn Rand,1957,0,fiction
To Kill a Mockingbird,Harper Lee,1960,0,fiction
Night,Elie Wiesel,1960,0,nonfiction
Catch-22,Joseph Heller,1961,0,fiction
The Bell Jar,Sylvia Plath,1963,0,fiction
In Cold Blood,Truman Capote,1966,0,nonfiction
Flowers for Algernon,Daniel Keyes,1966,0,fiction
The Outsiders,S.E. Hinton,1967,0,fiction
Slaughterhouse-Five,Kurt Vonnegut,1969,0,fiction
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974,0,nonfiction
Kindred,Octavia Butler,1979,0,fiction
The Color Purple,Alice Walker,1982,0,fiction
The House on Mango Street,Sandra Cisneros,1984,0,fiction
Beloved,Toni Morrison,1987,0,fiction
Persepolis,Marjane Satrapi,2000,0,nonfiction
American Gods,Neil Gaiman,2001,0,fiction
Oryx and Crake,Margaret Atwood,2003,0,fiction
The Kite Runner,Khaled Hosseini,2003,0,fiction
The Book Thief,Markus Zusak,2005,0,fiction
