Title,Author,Publication Year,Pages,Genre
Journey to the Center of the Earth,Jules Vene,1864,240,sci-fi
The Time Machine,H.G. Wells,1895,0,sci-fi
The Invisible Man,H.G. Wells,1897,192,sci-fi
The War of the Worlds,H.G. Wells,1898,0,sci-fi
Brave New World,Aldous Huxley,1932,0,sci-fi
1984,George Orwell,1949,0,sci-fi
"I, Robot",Isaac Asimov,1950,224,sci-fi
The Martian Chronicles,Ray Bradbury,1950,0,sci-fi
Foundation,Isaac Asimov,1951,0,sci-fi
Childhood's End,Arthur C. Clarke,1953,224,sci-fi
Fahrenheit 451,Ray Bradbury,1953,0,sci-fi
Starship Troopers,Robert A. Heinlein,1959,264,sci-fi
Stranger in a Strange Land,Robert A. Heinlein,1961,0,sci-fi
Something Wicked This Way Comes,Ray Bradbury,1962,293,horror
A Clockwork Orange,Anthony Burgess,1962,0,sci-fi
Dune,Frank Herbert,1965,0,sci-fi
Flowers for Algernon,Daniel Keyes,1966,0,fiction
The Moon is a Harsh Mistress,Robert A. Heinlein,1966,288,sci-fi
2001: A Space Odyssey,Arthur C. Clarke,1968,297,sci-fi
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,0,sci-fi
The Left Hand of Darkness,Ursula K. Le Guin,1969,0,sci-fi
The Andromeda Strain,Michael Crichton,1969,0,sci-fi
Ringworld,Larry Niven,1970,288,sci-fi
The Mote in God's Eye,Larry Niven,1974,596,sci-fi
The Dispossessed,Ursula K. Le Guin,1974,387,sci-fi
The Forever War,Joe Haldeman,1974,278,sci-fi
Lucifer's Hammer,Larry Niven,1977,629,sci-fi
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,216,sci-fi
2010: Odyssey Two,Arthur C. Clarke,1982,320,sci-fi
Neuromancer,William Gibson,1984,0,sci-fi
The Peace War,Vernor Vinge,1984,304,sci-fi
Ender's Game,Orson Scott Card,1985,0,sci-fi
Footfall,Larry Niven,1985,524,sci-fi
Contact,Carl Sagan,1985,0,sci-fi
The Handmaid's Tale,Margaret Atwood,1985,0,sci-fi
Speaker for the Dead,Orson Scott Card,1986,382,sci-fi
Hyperion,Dan Simmons,1989,500,sci-fi
Jurassic Park,Michael Crichton,1990,466,sci-fi
Fall of Hyperion,Dan Simmons,1990,517,sci-fi
A Fire Upon the Deep,Vernor Vinge,1992,613,sci-fi
Snow Crash,Neal Stephenson,1992,0,sci-fi
Children of Men,P.D. James,1992,0,sci-fi
Battle Royale,Koushun Takami,1999,0,sci-fi
Old Man's War,John Scalzi,2005,318,sci-fi
The Hunger Games,Suzanne Collins,2008,0,sci-fi
The Martian,Andy Weir,2011,384,sci-fi
Ready Player One,Ernest Cline,2011,480,sci-fi
Leviathan Wakes,James S.A. Corey,2011,561,sci-fi
Station Eleven,Emily St. John Mandel,2014,0,sci-fi
Project Hail Mary,Andy Weir,2021,549,sci-fi
