Title,Author,Publication Year,Pages,Genre
Carrie,Stephen King,1974,199,horror
Salem's Lot,Stephen King,1975,439,horror
The Shining,Stephen King,1977,447,horror
The Stand,Stephen King,1978,823,horror
The Long Walk,Stephen King,1979,370,horror
The Dead Zone,Stephen King,1979,426,horror
Firestarter,Stephen King,1980,428,horror
The Mist,Stephen King,1980,176,horror
Roadwork,Stephen King,1981,368,horror
Cujo,Stephen King,1981,319,horror
The Gunslinger,Stephen King,1982,224,fiction
The Running Man,Stephen King,1982,219,horror
The Body,Stephen King,1982,148,fiction
Christine,Stephen King,1983,526,horror
Pet Sematary,Stephen King,1983,374,horror
Cycle of the Werewolf,Stephen King,1984,127,horror
Thinner,Stephen King,1984,309,horror
The Talisman,Stephen King,1984,644,fiction
The Eyes of the Dragon,Stephen King,1987,326,fiction
Misery,Stephen King,1987,310,horror
The Tommyknockers,Stephen King,1987,558,horror
The Dark Half,Stephen King,1989,431,horror
The Langoliers,Stephen King,1990,230,horror
The Drawing of the Three,Stephen King,1987,400,fiction
Needful Things,Stephen King,1991,690,horror
Gerald's Game,Stephen King,1992,332,horror
Dolores Claiborne,Stephen King,1993,305,horror
Insomnia,Stephen King,1994,663,horror
Rose Madder,Stephen King,1995,420,horror
The Regulators,Stephen King,1995,344,horror
Desperation,Stephen King,1996,690,horror
The Green Mile,Stephen King,1996,432,fiction
The Waste Lands,Stephen King,1991,512,fiction
Wizard and Glass,Stephen King,1997,787,fiction
Bag of Bones,Stephen King,1998,529,horror
The Girl Who Loved Tom Gordon,Stephen King,1999,224,fiction
Dreamcatcher,Stephen King,2001,620,horror
Black House,Stephen King,2001,625,horror
From A Buick 8,Stephen King,2002,356,horror
Wolves of the Calla,Stephen King,2003,714,fiction
Song of Susannah,Stephen King,2004,432,fiction
The Dark Tower,Stephen King,2004,845,fiction
The Colorado Kid,Stephen King,2005,184,fiction
Cell,Stephen King,2006,355,horror
Lisey's Story,Stephen King,2006,513,horror
Blaze,Stephen King,2006,291,fiction
Duma Key,Stephen King,2008,611,horror
Under the Dome,Stephen King,2009,1074,horror
11/22/63,Stephen King,2011,849,fiction
The Wind Through the Keyhole,Stephen King,2012,336,fiction
Joyland,Stephen King,2013,283,fiction
Doctor Sleep,Stephen King,2013,531,horror
Mr. Mercedes,Stephen King,2014,436,fiction
Revival,Stephen King,2014,403,horror
Finders Keepers,Stephen King,2015,436,fiction
End of Watch,Stephen King,2016,435,fiction
Gwendy's Button Box,Stephen King,2017,181,fiction
Sleeping Beauties,Stephen King,2017,702,horror
The Outsider,Stephen King,2018,561,horror
Elevation,Stephen King,2018,146,fiction
The Institute,Stephen King,2019,561,horror
Billy Summers,Stephen King,2021,528,fiction
Later,Stephen King,2021,304,horror
Gwendy's Final Task,Stephen King,2022,208,fiction
Fairy Tale,Stephen King,2022,608,fiction
Holly,Stephen King,2023,464,horror
Never Flinch,Stephen King,2025,400,fiction
